paperID,title,year,keywords,abstract,authors
,Analyzing Gaze Patterns of Individuals in Programming Pairs,2019,"Eye tracking, pair programming, gaze patterns","Gaze patterns of individuals in programming pairs were analyzed as they traced and debugged fragments of code. This was done through a dual eye tracking experiment by recording the individual participants’ fixations and computing their gaze-based measures. The individuals in the pairs were categorized into a more successful and less successful participant based on the number of bugs found. The eye movement patterns were classified under the more and less successful participants. These gaze patterns were linked to how these individual participants read or traced source codes and searched for errors. Results and evidence suggest that there were indeed differences between the more successful and less successful participants in programming pairs. These findings tell us which behaviors and practices are exhibited by the more successful participants in the pairs in a bug-finding task. Programming instructors can learn from these practices and can give practical tips to the more struggling students in programming.","Maureen M. Villamor, Ma. Mercedes T. Rodrigo"
,Developing Art from Art: Towards Affective Music Composition Based on Curated Artworks Using a Genetic Algorithm,2019,"Abstract Paintings, Music Generation, Computational Music","This is a study on affective image-based music composition generated from abstract paintings using a genetic algorithm. It aims to effectively generate music that will showcase the mood of various abstract paintings to enhance people's experience when viewing these types of artworks by producing music that is generated algorithmically by analyzing the painting based on the rule of thirds. This study uses various findings on the relationship between color and musical properties to translate these image features into a melody that is both pleasing to hear and fits the mood of the original artwork. Image analysis is performed using the OpenCV library. For music generation, a modified implementation of the genetic algorithm by Delahousse is used. The algorithm generates a population of 50 melodies in each generation. After 200 generations, the program outputs the melody with the highest fitness score. This study was then tested on 33 participants. Results show that the mood of nervousness is eventually relieved when a painting is viewed with the generated accompanying music.","Deion C. Menor, Cher T. Panlilio, Lourdes J. Santiago, Andrei D. Coronel"
,Minimum Connected Dominating Sets on Protein-Protein Interaction Networks,2019,"Minimum Connected Dominating Sets, Protein-Protein Interactions",,"Joshua Dizon, Somnath Bera, Jean Malolos, Henry N. Adorna"
,Privacy-Preserving Approximation of Transcendental Functions,2019,"Numerical methods, Gauss-Legendre quadrature, floating-point arithmetic, transcendental functions, homomorphic encryption, secure computation, Paillier cryptosystem",,"Aldrich Ellis C. Asuncion, Brian Christopher T. Guadalupe, William Emmanuel S. Yu"
,Blind Deconvolution Model for Scene Text Localization and Recognition,2019,"Image deblurring, text localization, text recognition, blind
deconvolution","Extracting correct texts from scene images offers more technological development possibilities. Text localization and detection in scene images are two crucial components in retrieving content-based information. This textual information provides valuable details that could be beneficial towards a clearer understanding on the high-level semantics and contents of different multimedia - scene text images as such. This study mainly explores on how can blind deconvolution be applied to improve text localization and recognition of texts in both clear and blurry datasets. ICDAR 2011 and ICDAR 2013 datasets are used as inputs for text localization and text recognition. Blurry datasets are generated from the two datasets by applying a specific Gaussian blur kernel to each of the images of both datasets. Experimental results show that the currently proposed method provides competitive text localization and
recognition performance on both blurry and clear datasets.","Clarisa Albarillo, Proceso Fernandez, Jr"
,Intersection Conflict Resolution for Traffic Simulators,2019,"Traffic simulation, intersection conflict resolution, database",,"Harvey Ian Arbas, Ara Abigail Ambita, Ligaya Leah Figueroa"
,Anonymized Recommendation System via Client-Side Storage,2019,,,"Maria Isabel Saludares, Charles Kevin Verdad, Ligaya Leah Figueroa"
,Emotions Evoked in Realism-based Paintings: A Semi-supervised Machine Learning Model,2019,"Semantic segmentation, color extraction, convolutional neural network, random forest, emotions, semi-supervised learning, oversampling, SMOTE",,"Jasper Haven S. Briones, Kennethe Ann Q. Mina, Michelle P. Banawan"
,Visual Speech Recognition Using Convolutional Neural Networks and Long Short-term Memory with Transfer Learning,2019,,,"Dewey L. Sia, Zuleika A. Yee, Michelle P. Banawan"
,Exploring Photorealistic Rendering For Mixed Reality On Mobile Devices,2019,"Augmented Reality, Computer Graphics, Rendering","This work investigates the possibility of photorealistic rendering of virtual objects for mixed reality applications on mobile devices. Photorealistic rendering refers to the process of seamlessly merging virtual objects into real-world scenes. Most systems implemented for this purpose require complex setups, heavy user input, and powerful hardware. Furthermore, very few of these systems have considered implementation for mobile devices especially through global illumination as mobile devices present limited computational power compared to modern desktop machines. The developed system renders virtual objects onto real scenes using physically based rendering approaches and global illumination in the form of path tracing. These rendering approaches were then evaluated in terms of photorealistic quality in the form of a qualitative survey and performance through performance testing on mobile devices to gather which physically based rendering approaches produce the best results. Results show that it is indeed possible to implement photorealistic rendering on a mobile device that employs physically based rendering and global illumination and that there are indeed better rendering approaches that produce better photorealistic quality than others. This work also shows that photorealistic rendering for mixed reality can be implemented on limited mobile device hardware using the Unity Engine and its standard and compute shaders.","Christian Terrence Esguerra, Conrado Ruiz, Jr."
