Author 1,Author 2,ID 1,ID 2,Affiliation 1,Affiliation 2,Year,DOI,EID,General Areas,Specific Areas,AUID 1,AUID 2
Jar Carlo C. Ramirez,Terence P. Tumolva,57201376247,48561665200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85044499335,"Dentistry (miscellaneous); Surfaces, Coatings and Films; Polymers and Plastics; Materials Chemistry",DENT; MATE,AUID-57201376247,AUID-48561665200
Maica Krizna Areja Gavina,Jerrold M. Tubay,56059419700,55900656800,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85046644134,Multidisciplinary,MULT,AUID-56059419700,AUID-55900656800
Maica Krizna Areja Gavina,Jomar F. Rabajante,56059419700,56059058900,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85046644134,Multidisciplinary,MULT,AUID-56059419700,AUID-56059058900
Jerrold M. Tubay,Jomar F. Rabajante,55900656800,56059058900,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85046644134,Multidisciplinary,MULT,AUID-55900656800,AUID-56059058900
Fe M. Dela Cueva,J. S. Mendoza,35097132700,57202584900,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85048825826,Agronomy and Crop Science,AGRI,AUID-35097132700,AUID-57202584900
Fe M. Dela Cueva,Mark Angelo Balendres,35097132700,57105565700,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85048825826,Agronomy and Crop Science,AGRI,AUID-35097132700,AUID-57105565700
J. S. Mendoza,Mark Angelo Balendres,57202584900,57105565700,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85048825826,Agronomy and Crop Science,AGRI,AUID-57202584900,AUID-57105565700
Melvin R. Pacquiao,Mark Daniel G. De Luna,57202059526,36954504500,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047017607,"Surfaces, Coatings and Films",MATE,AUID-57202059526,AUID-36954504500
Jonathan Caalim,Clarisson Rizzie Canlubo,57192433307,57202001039,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85046728979,Algebra and Number Theory; Numerical Analysis; Geometry and Topology; Discrete Mathematics and Combinatorics,MATH,AUID-57192433307,AUID-57202001039
Neil Stephen Lopez,Jose Bienvenido Manuel M. Biona,56770776600,21742187700,De La Salle University,De La Salle University,2018,nan,2-s2.0-85047855782,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-56770776600,AUID-21742187700
Neil Stephen Lopez,Anthony Shun Fung Chiu,56770776600,57202363313,De La Salle University,De La Salle University,2018,nan,2-s2.0-85047855782,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-56770776600,AUID-57202363313
Jose Bienvenido Manuel M. Biona,Anthony Shun Fung Chiu,21742187700,57202363313,De La Salle University,De La Salle University,2018,nan,2-s2.0-85047855782,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-21742187700,AUID-57202363313
Aldrin P. Bonto,Ken Sammuel I. Camacho,57201875566,57201886340,De La Salle University,De La Salle University,2018,nan,2-s2.0-85046373258,Food Science,AGRI,AUID-57201875566,AUID-57201886340
Aldrin P. Bonto,Drexel H. Camacho,57201875566,7003773991,De La Salle University,De La Salle University,2018,nan,2-s2.0-85046373258,Food Science,AGRI,AUID-57201875566,AUID-7003773991
Ken Sammuel I. Camacho,Drexel H. Camacho,57201886340,7003773991,De La Salle University,De La Salle University,2018,nan,2-s2.0-85046373258,Food Science,AGRI,AUID-57201886340,AUID-7003773991
Kelvin C. Buño,Francis George C. Cabarle,57200600155,53983599800,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045563943,Theoretical Computer Science; Computer Science (all),MATH; COMP,AUID-57200600155,AUID-53983599800
Kelvin C. Buño,Marj Darrel Calabia,57200600155,57201659474,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045563943,Theoretical Computer Science; Computer Science (all),MATH; COMP,AUID-57200600155,AUID-57201659474
Kelvin C. Buño,Henry N. Adorna,57200600155,36573213900,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045563943,Theoretical Computer Science; Computer Science (all),MATH; COMP,AUID-57200600155,AUID-36573213900
