address,affiliation-name,city,country,dc:identifier,prism:url
Abid Majeed Road,Armed Forces Institute of Pathology,Rawalpindi,Pakistan,AFFILIATION_ID:100310256,https://api.elsevier.com/content/affiliation/affiliation_id/100310256
Russian Inspectorate for the Protection of Consumer Rights and Human Welfare,Central Research Institute of Epidemiology,Moscow,Russian Federation,AFFILIATION_ID:100312339,https://api.elsevier.com/content/affiliation/affiliation_id/100312339
GPO Box 4646,Museum and Art Gallery of the Northern Territory,Darwin,Australia,AFFILIATION_ID:100316217,https://api.elsevier.com/content/affiliation/affiliation_id/100316217
Imphal,Regional Institute of Medical Science,Imphal,India,AFFILIATION_ID:100316852,https://api.elsevier.com/content/affiliation/affiliation_id/100316852
Lebuhraya Selayang,Hospital Selayang,Kepong,Malaysia,AFFILIATION_ID:100318298,https://api.elsevier.com/content/affiliation/affiliation_id/100318298
Vientiane,Ministry of Health,Vientiane,Laos,AFFILIATION_ID:100320555,https://api.elsevier.com/content/affiliation/affiliation_id/100320555
"5 Fu-Hsing Street, Kwei-Shan, Taoyuan, China",Chang Gung University,Taiyuan,China,AFFILIATION_ID:100324512,https://api.elsevier.com/content/affiliation/affiliation_id/100324512
"Tainan, Taiwan, China",Chi-Mei Foundation Hospital,Tainan,China,AFFILIATION_ID:100326796,https://api.elsevier.com/content/affiliation/affiliation_id/100326796
"Federal Sceretariat, Garki-Abuja",Federal Ministry of Health,Lagos,Nigeria,AFFILIATION_ID:100327861,https://api.elsevier.com/content/affiliation/affiliation_id/100327861
"Area de Gestion Sanitaria Serrania de Malaga, Ronda",Hospital de la Serranía,Malaga,Spain,AFFILIATION_ID:100328415,https://api.elsevier.com/content/affiliation/affiliation_id/100328415
"Ho 60, Mukaimoto-ori",Komatsu Municipal Hospital,Komatsu,Japan,AFFILIATION_ID:100331390,https://api.elsevier.com/content/affiliation/affiliation_id/100331390
150 South Huntington Avenue,National Center for PTSD,Boston,United States,AFFILIATION_ID:100335273,https://api.elsevier.com/content/affiliation/affiliation_id/100335273
Ludhiana-141001 (Pb.,DMC and Hospital,Ludhiana,India,AFFILIATION_ID:100337640,https://api.elsevier.com/content/affiliation/affiliation_id/100337640
1 Discovery Drive,Sanofi Pasteur,Swiftwater,United States,AFFILIATION_ID:100340953,https://api.elsevier.com/content/affiliation/affiliation_id/100340953
Dr. Carlos Alberto Studart Gomes,Hospital de Messejana,Fortaleza,Brazil,AFFILIATION_ID:100341628,https://api.elsevier.com/content/affiliation/affiliation_id/100341628
Leon (UNAN-Leon),National Autonomous University of Nicaragua,Leon,Nicaragua,AFFILIATION_ID:100343025,https://api.elsevier.com/content/affiliation/affiliation_id/100343025
POB 780,Bank of Israel,Jerusalem,Israel,AFFILIATION_ID:100343419,https://api.elsevier.com/content/affiliation/affiliation_id/100343419
Cotonou,International Institute of Tropical Agriculture (IITA),Cotonou,Benin,AFFILIATION_ID:100343466,https://api.elsevier.com/content/affiliation/affiliation_id/100343466
Via La Marmora 34,Italian Association of Hospital Cardiologists (ANMCO) Research Center,Florence,Italy,AFFILIATION_ID:100350197,https://api.elsevier.com/content/affiliation/affiliation_id/100350197
"Lope de Vega Street, Sta. Cruz, Metro",Dr. Jose Fabella Memorial Hospital,Manila,Philippines,AFFILIATION_ID:100357655,https://api.elsevier.com/content/affiliation/affiliation_id/100357655
Final 25 Avenida Norte y Boulevar de los Heroes,Hospital Nacional de Niños Benjamin Bloom,San Salvador,El Salvador,AFFILIATION_ID:100360214,https://api.elsevier.com/content/affiliation/affiliation_id/100360214
Bulanshehar-1,WHO,New Delhi,India,AFFILIATION_ID:100360411,https://api.elsevier.com/content/affiliation/affiliation_id/100360411
"Omon, Cantho",Cuu Long Delta Rice Research Institute,Can Tho,Viet Nam,AFFILIATION_ID:100362060,https://api.elsevier.com/content/affiliation/affiliation_id/100362060
"5 River Road, Suite 1",Oceanweather Inc.,Stamford,United States,AFFILIATION_ID:100362413,https://api.elsevier.com/content/affiliation/affiliation_id/100362413
Villajoyosa,Hospital de Villajoyosa,Alicante,Spain,AFFILIATION_ID:100362452,https://api.elsevier.com/content/affiliation/affiliation_id/100362452
Los Banos,College,Laguna,Philippines,AFFILIATION_ID:100363912,https://api.elsevier.com/content/affiliation/affiliation_id/100363912
"TC 7/1724, Temple Road, Kochulloor",Health Action by People,Thiruvananthapuram,India,AFFILIATION_ID:100364478,https://api.elsevier.com/content/affiliation/affiliation_id/100364478
Makati City,Asian Institute of Management,Manila,Philippines,AFFILIATION_ID:100366139,https://api.elsevier.com/content/affiliation/affiliation_id/100366139
Montfleury,Military Hospital of Tunis,Tunis,Tunisia,AFFILIATION_ID:100366876,https://api.elsevier.com/content/affiliation/affiliation_id/100366876
"764 Vo Van Kiet, Quan 5",Oxford University Clinical Research Unit,Ho Chi Minh City,Viet Nam,AFFILIATION_ID:100367360,https://api.elsevier.com/content/affiliation/affiliation_id/100367360
P.O. Box 193,Center for Independent Social Research,Saint Petersburg (ex Leningrad),Russian Federation,AFFILIATION_ID:100367825,https://api.elsevier.com/content/affiliation/affiliation_id/100367825
3-11-3 Setagaya,Tokyo Healthcare University,Tokyo,Japan,AFFILIATION_ID:100368995,https://api.elsevier.com/content/affiliation/affiliation_id/100368995
30 Brown Avenue,Acadian Seaplants Limited,Dartmouth,Canada,AFFILIATION_ID:100370301,https://api.elsevier.com/content/affiliation/affiliation_id/100370301
Via La Marmora 36,Associazione Nazionale Medici Cardiologi Ospedalieri,Florence,Italy,AFFILIATION_ID:100371809,https://api.elsevier.com/content/affiliation/affiliation_id/100371809
4300 N. Narragansett Avenue,Wilbur Wright College,Chicago,United States,AFFILIATION_ID:100376481,https://api.elsevier.com/content/affiliation/affiliation_id/100376481
Tulpenfeld 6,German Development Institute,Bonn,Germany,AFFILIATION_ID:100376668,https://api.elsevier.com/content/affiliation/affiliation_id/100376668
Mandalay,University of Mandalay,,Myanmar,AFFILIATION_ID:100381804,https://api.elsevier.com/content/affiliation/affiliation_id/100381804
"No.1, 1st Cross street, Off 2nd Main Road, Raja Annamalaipuram",Madras ENT Research Foundation,Chennai,India,AFFILIATION_ID:100382844,https://api.elsevier.com/content/affiliation/affiliation_id/100382844
220 East 42nd Street,UNFPA,New York,United States,AFFILIATION_ID:100386588,https://api.elsevier.com/content/affiliation/affiliation_id/100386588
La Mascota,Hospital Infantil Manuel de Jesus Rivera,Managua,Nicaragua,AFFILIATION_ID:100388796,https://api.elsevier.com/content/affiliation/affiliation_id/100388796
"Pavilhao Pereira Filho, Avenida Prof. Armes Dias, 285, 1o andar",Santa Casa de Porto Alegre,Porto Alegre,Brazil,AFFILIATION_ID:100394219,https://api.elsevier.com/content/affiliation/affiliation_id/100394219
Pasig City,University of Asia and the Pacific,Manila,Philippines,AFFILIATION_ID:100394533,https://api.elsevier.com/content/affiliation/affiliation_id/100394533
Flemington Rd.,Victorian Clinical Genetics Service,Melbourne,Australia,AFFILIATION_ID:100396908,https://api.elsevier.com/content/affiliation/affiliation_id/100396908
Chake Chake,Public Health Laboratory-Ivo de Carneri,"Mkokotoni, Zanzibar",Tanzania,AFFILIATION_ID:100400230,https://api.elsevier.com/content/affiliation/affiliation_id/100400230
Veterans' Affairs and Intergenerational Solidarity,Ministry of Health,Zagreb,Croatia,AFFILIATION_ID:100403185,https://api.elsevier.com/content/affiliation/affiliation_id/100403185
Miami-Dade County,Health Council of South Florida,Miami,United States,AFFILIATION_ID:100404690,https://api.elsevier.com/content/affiliation/affiliation_id/100404690
"NASC Complex, Pusa",International Rice Research Institute,New Delhi,India,AFFILIATION_ID:100407664,https://api.elsevier.com/content/affiliation/affiliation_id/100407664
Mohakhali,Directorate General of Health Services,Dhaka,Bangladesh,AFFILIATION_ID:100408007,https://api.elsevier.com/content/affiliation/affiliation_id/100408007
Islamic Republic of Afghanistan,Ministry of Public Health,Kabul,Afghanistan,AFFILIATION_ID:100408091,https://api.elsevier.com/content/affiliation/affiliation_id/100408091
Jhelum Road,Al-Shifa Trust Eye Hospital,Rawalpindi,Pakistan,AFFILIATION_ID:100408776,https://api.elsevier.com/content/affiliation/affiliation_id/100408776
1945 Versailles Street,Sarasota Arthritis Center,Sarasota,United States,AFFILIATION_ID:100410151,https://api.elsevier.com/content/affiliation/affiliation_id/100410151
F Ramos St Cebu City,Cebu Institute of Medicine,Cebu,Philippines,AFFILIATION_ID:100410806,https://api.elsevier.com/content/affiliation/affiliation_id/100410806
Highland,Beaver Medical Group,Redlands,United States,AFFILIATION_ID:100410853,https://api.elsevier.com/content/affiliation/affiliation_id/100410853
Hermandad de Donantes de Sangre,Hospital de Torrecárdenas,Almeria,Spain,AFFILIATION_ID:100414009,https://api.elsevier.com/content/affiliation/affiliation_id/100414009
