article-number,authkeywords,citedby-count,dc:creator,dc:description,dc:identifier,dc:title,eid,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:doi,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,subtype,subtypeDescription
6195,Chaperones | PDB | Protein functions | Protein structure,0,Bascos N.,"© 2019 by the authors. Licensee MDPI, Basel, Switzerland. Thirty years ago a class of proteins was found to prevent the aggregation of Rubisco. These proteins’ ability to prevent unwanted associations led to their being called chaperones. These chaperone proteins also increased in expression as a response to heat shock, hence their label as heat shock proteins (Hsps). However, neither label encompasses the breadth of these proteins’ functional capabilities. The term “unfoldases” has been proposed, as this basic function is shared by most members of this protein family. Onto this is added specializations that allow the different family members to perform various cellular functions. This current article focuses on the resolved structural bases for these functions. It reviews the currently available molecular structures in the Protein Data Bank for several classes of Hsps (Hsp60, Hsp70, Hsp90, and Hsp104). When possible, it discusses the complete structures for these proteins, and the types of molecular machines to which they have been assigned. The structures of domains and the associated functions are discussed in order to illustrate the rationale for the proposed unfoldase function.",SCOPUS_ID:85076316607,A history of molecular chaperone structures in the protein data bank,2-s2.0-85076316607,,undefined,,1,True,,Journal,2019-12-02,10.3390/ijms20246195,,16616596,24,,International Journal of Molecular Sciences,https://api.elsevier.com/content/abstract/scopus_id/85076316607,20,31817979.0,re,Review
,AES | Encryption | File management system | Image file encryption,0,Gamido H.,"© 2019 Institute of Advanced Engineering and Science. All rights reserved. Images are a means to share and convey relevant data in today’s digital world. This paper presents an image file management system to provide a platform for distributing and viewing images in a secured manner. The shared image files are stored in the server in an encrypted manner to provide additional security to the owner of the file. A modified AES algorithm using bit permutation was used to encrypt the image files. Based on the experimental result, image files were successfully encrypted in the server and can only be decrypted by the intended recipient of the file providing an efficient and reliable way of exchanging images.",SCOPUS_ID:85075603544,Developing a secured image file management system using modified AES,2-s2.0-85075603544,CHED,undefined,Commission on Higher Education,0,False,,Journal,2019-12-01,10.11591/eei.v8i4.1317,,20893191,4,1461-1467,Bulletin of Electrical Engineering and Informatics,https://api.elsevier.com/content/abstract/scopus_id/85075603544,8,,ar,Article
,Quality of service | Software defined networks | Traffic management | Value-based utility | Wireless sensor nodes,0,Alipio M.,"© 2019 Elsevier B.V. Data transmitted among wireless sensor nodes are generated from sensing physical events with diverse traffic types. These data have to reach their destinations with a specific Quality of Service (QoS) requirement. With the increasing usage of sensors in various Internet of Things applications, there is a need to address the traffic management for handling these critical data while satisfying their respective QoS requirements. In this work, we implemented a traffic management mechanism using Value-based Utility (VBU) model that utilizes network packet statistics to cope with QoS requirement of each sensor data. The mechanism ensures that the demands of each sensor data are satisfied by allocating queue resources based on a utility function. The function defines an expectation range and the state where minimal requirements are met for each sensor. We evaluated the performance of the mechanism over a simple low-cost software-defined testbed with different sensor data type having different QoS requirements. Results show that each sensor node achieved the level of satisfaction based on their required utility function both in an ideal testbed scenario and in an actual indoor deployment.",SCOPUS_ID:85069598217,Value-based utility implementation in software-defined testbed for sensor data traffic management,2-s2.0-85069598217,GCOE,undefined,"Gokongwei College of Engineering, De La Salle University",0,False,S0167739X19307873,Journal,2019-12-01,10.1016/j.future.2019.07.041,,0167739X,,737-746,Future Generation Computer Systems,https://api.elsevier.com/content/abstract/scopus_id/85069598217,101,,ar,Article
,Logic controller | Plc | Three-phase transformer | Trainer kit | Transformer banking,0,Minoza A.,"© 2019 by the authors. This research will bridge the gap between theoretical concepts of transformer banking and its actual operation without risking the safety of the students as well as the initiating personnel for the laboratory exercises. In electrical engineering, the concept of transformers is very essential to the success of engineering students in terms of electrical engineering applications. Thus, learning the basic of transformers should be taught properly in universities. However, the danger of dealing with high voltages in a range of 220 Vac and above should be taken seriously. To address this problem, a Programmable Logic Controller (PLC) will be integrated into the system. Programmable Logic Controller (PLC) is an industrial solid-state computer that monitors inputs and outputs and makes logic-based decisions for automated processes or machines. The integration of PLC into the system configuration of any transformer banking served as the protection system. Students will be able to learn on how to configure the four (4) different types of transformer banking, namely, (a) delta-wye; (b) wye-delta; (c) delta-delta; and (d) wye-wye. The interconnection of the system is made possible with the aid of relays. The problem with transformer banking is whenever students misconfigured the connection there is a big chance of damaging the equipment and hurting the user. With this trainer, the equipment is being protected along with the user. The trainer developed in this research will be a good equipment to fully grasp the concept of transformers and best way for the students to expand their knowledge towards electrical engineering.",SCOPUS_ID:85075626464,Programmable logic controller (PLC) protected transformer banking trainer kit for electrical engineering education,2-s2.0-85075626464,,undefined,,1,True,,Journal,2019-12-01,10.18178/ijiet.2019.9.12.1329,,,12,933-937,International Journal of Information and Education Technology,https://api.elsevier.com/content/abstract/scopus_id/85075626464,9,,ar,Article
104773,B-stocks | Holding period returns | Investment | Portfolio selection | Short-selling,1,Chang K.,"© 2019 This study exploits the extra information provided by behavioral stocks (B-stocks) and proposes portfolio selection models that produce profitable portfolios which can outperform traditional investment benchmarks (market index, mutual funds, and exchange-traded funds). Using the embedded holding period (T-day) information of a B-stock, in order to maximize the expected effect (cumulative abnormal return CAR ≥ 1%), this study proposes a buy and hold strategy such that B-stocks are bought when their respective causes are spotted and held until their respective T-days are reached. In addition, in performing the back-tests the actual transaction costs are considered to represent more realistic investments. Short-selling is also considered to provide a more flexible investment such that some B-stocks are shorted when causes are spotted and wait until their respective T-days are reached to exploit the expected effect (CAR≤−1%). The resulting portfolios are then compared to traditional benchmarks. Overall, this study addresses three issues that were not addressed by previous works on B-stocks. These issues are: (1) having portfolios that are profitable even after all transactions costs are considered; (2) identifying short-sell B-stocks for consideration of short-selling in the portfolio selection; and (3) generating portfolios that outperform traditional investment benchmarks.",SCOPUS_ID:85071193491,Behavioral stock portfolio optimization considering holding periods of B-stocks with short-selling,2-s2.0-85071193491,MOST,103-2221-E-033-023,"Ministry of Science and Technology, Taiwan",0,False,S0305054819302151,Journal,2019-12-01,10.1016/j.cor.2019.104773,,03050548,,,Computers and Operations Research,https://api.elsevier.com/content/abstract/scopus_id/85071193491,112,,ar,Article
,Eye movement | Stereoscopic | Structural equation modeling,3,Lin C.,"© 2019 Elsevier B.V. The current study applied Structural Equation Modeling (SEM) to analyze the interrelationship among index of difficulty (ID), environment, saccade duration (SD), revisited fixation duration (RFD), number of fixation (NF), pupil size (PS), eye gaze accuracy (AC), and symptoms simultaneously. SD, RFD, NF, PS, and AC were measured by utilizing the Tobii eye tracker system. Twelve participants were recruited to perform multi-directional tapping task using within-subject design with two different environments (2D screen display and 3D stereoscopic display) and six different levels of ID. SEM showed that ID had significant direct effects on SD and RFD while environment was found had significant direct effects on SD, RFD, PS, AC, and symptoms. Among selected eye movement measures, NF was found to be the best predictor of AC and PS was found to be the best predictor of symptoms. In addition, RFD was also found to be a good predictor of symptoms. Our results found that higher AC was achieved by projecting the image in the 2D screen display with higher ID and it resulted in higher SD and higher NF. Regarding the symptoms, our results found that lower symptoms were achieved by projecting the image in the 2D screen display with lower ID and it resulted in lower PS, and lower RFD. Practitioner Summary: The SEM could provide valuable theoretical foundations to identify the interrelationship among eye movement measures, AC, and symptoms particularly for VR researchers and interface developers.",SCOPUS_ID:85071083446,Eye movement measures for predicting eye gaze accuracy and symptoms in 2D and 3D displays,2-s2.0-85071083446,MOST,103-2221-E-011-100-MY3,"Ministry of Science and Technology, Taiwan",0,False,S0141938218301872,Journal,2019-12-01,10.1016/j.displa.2019.08.002,,01419382,,1-8,Displays,https://api.elsevier.com/content/abstract/scopus_id/85071083446,60,,ar,Article
1,Migration network | Persistent homology | Remittance network,1,Ignacio P.,"© 2019, The Author(s). Pattern detection in network models provides insights to both global structure and local node interactions. In particular, studying patterns embedded within remittance and migration flow networks can be useful in understanding economic and sociologic trends and phenomena and their implications both in regional and global settings. We illustrate how topo-algebraic methods can be used to detect both local and global patterns that highlight simultaneous interactions among multiple nodes, giving a more holistic perspective on the network fabric and a higher order description of the overall flow structure of directed networks. Using the 2015 Asian net migration and remittance networks, we build and study the associated directed clique complexes whose topological features correspond to specific flow patterns in the networks. We generate diagrams recording the presence, persistence, and perpetuity of patterns and show how these diagrams can be used to make inferences about the characteristics of migrant movement patterns and remittance flows.",SCOPUS_ID:85059688337,Tracing patterns and shapes in remittance and migration networks via persistent homology,2-s2.0-85059688337,,undefined,"Graduate College, University of Iowa",1,True,,Journal,2019-12-01,10.1140/epjds/s13688-018-0179-z,,,1,,EPJ Data Science,https://api.elsevier.com/content/abstract/scopus_id/85059688337,8,,ar,Article
104074,Bioretention | Low impact development | Optimization | Watershed-scale modeling,1,Baek S.,"© 2017 Elsevier Ltd Continuous urbanization has negatively impacted the ecological and hydrological environments at the global, regional, and local scales. This issue was addressed by developing Low Impact Development (LID) practices to deliver better hydrologic function and improve the environmental, economic, social and cultural outcomes. This study developed a modeling software to simulate and optimize bioretentions among LID in a given watershed. The model calculated a detailed soil infiltration process in bioretention with hydrological conditions (e.g. unsaturated and saturated soil) and hydraulic facilities (e.g. riser and underdrain) and also generated an optimized plan using Flow Duration Curve (FDC). The optimization result from the simulation demonstrated that the location and size of bioretention, as well as the soil texture, are important elements for an efficient bioretention. We hope that this developed software will aid in establishing effective LID strategies for improving urban water sustainability and management.",SCOPUS_ID:85035032843,Developing a hydrological simulation tool to design bioretention in a watershed,2-s2.0-85035032843,KEITI,1615007273,"Ministry of Land, Infrastructure and Transport",0,False,S1364815216307393,Journal,2019-12-01,10.1016/j.envsoft.2017.11.006,,13648152,,,Environmental Modelling and Software,https://api.elsevier.com/content/abstract/scopus_id/85035032843,122,,ar,Article
,Actor-Network Theory (ANT) | M-learning | M-technologies,0,Goneda M.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. The researchers adopted the phases of Actor-Network Theory approach for the public senior high school teachers with the use of M-Learning technologies as pedagogy since most of them lack access in using different learning materials and textbooks. With this, the teachers find other ways on how to provide learning materials for their students. The study used free and open source educational software to support and sustain the needs of the students and one of the M-learning open source tools is Edmodo. Also, the teacher supplements the needs of the learners with the use of some technological devices such as mobile phone, tablet and desktop computers. The result of the study showed that it is moderately accepted in terms of using the free and open source Edmodo application. The respondents moderately accepted the use of such devices as an educational pedagogical strategy. Moreover, the satisfaction of ANT approach with the use of the m-learning technologies in the public senior high school students in terms of m-learning materials, activities and assessment was highly accepted with a total mean of 4.56. Lastly, the level of agreement of ANT approach as pedagogy in terms of functionality, efficiency, usability, availability, and reliability was strongly agreed by the students.",SCOPUS_ID:85077703047,Actor-network theory approach using m-learning technologies in the public senior high school as pedagogy,2-s2.0-85077703047,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,423-428,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077703047,1,,cp,Conference Paper
,Cyberchondria | Individual personality traits | Nursing education | Online health information | Structural equation model,0,de la Cuesta J.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. The Internet is intricately embedded in our everyday lives and has become a valuable source of information to support learning due to its accessibility and decreasing costs. However, the rising costs of healthcare resulted in students seeking medical information from online health websites contributing unnecessary stress to their academic lives. In developing economies, however, the overloaded information from the Internet brings forth severe risks to these individuals by exposing themselves to inaccurate and inappropriate information in addressing their perceived conditions and symptoms. Cyberchondria is the speculative escalation of anxieties about common health issues which is grounded on the assessment of online information to satisfy medical curiosity. The personality traits of nursing students in higher education are utilized to identify which among these traits can lead to cyberchondria by examining 207 responses through a structural equation model technique. Analysis of data reveals that the individual personality traits of conscientiousness and neuroticism are positively associated with cyberchondria. Practical and academic implications are discussed in relation to the role of technology in nursing education.",SCOPUS_ID:85077683851,Personality traits of future nurses and cyberchondria: Findings from an emerging economy,2-s2.0-85077683851,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,274-279,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077683851,2,,cp,Conference Paper
