paperID,author1,author2,affiliation1,affiliation2,location,year
0,Maureen M. Villamor,Ma. Mercedes T. Rodrigo,University of Southeastern Philippines,Ateneo de Manila University,local,2019
1,Deion C. Menor,Cher T. Panlilio,Ateneo de Manila University,Ateneo de Manila University,local,2019
1,Deion C. Menor,Lourdes J. Santiago,Ateneo de Manila University,Ateneo de Manila University,local,2019
1,Deion C. Menor,Andrei D. Coronel,Ateneo de Manila University,Ateneo de Manila University,local,2019
1,Cher T. Panlilio,Lourdes J. Santiago,Ateneo de Manila University,Ateneo de Manila University,local,2019
1,Cher T. Panlilio,Andrei D. Coronel,Ateneo de Manila University,Ateneo de Manila University,local,2019
1,Lourdes J. Santiago,Andrei D. Coronel,Ateneo de Manila University,Ateneo de Manila University,local,2019
2,Joshua Dizon,Somnath Bera,Philippine Genome Center,Huazhong University of Science and Technology,local,2019
2,Joshua Dizon,Jean Malolos,Philippine Genome Center,University of the Philippines - Diliman,local,2019
2,Joshua Dizon,Henry N. Adorna,Philippine Genome Center,University of the Philippines - Diliman,local,2019
2,Somnath Bera,Jean Malolos,Huazhong University of Science and Technology,University of the Philippines - Diliman,local,2019
2,Somnath Bera,Henry N. Adorna,Huazhong University of Science and Technology,University of the Philippines - Diliman,local,2019
2,Jean Malolos,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
3,Aldrich Ellis C. Asuncion,Brian Christopher T. Guadalupe,Ateneo de Manila University,Ateneo de Manila University,local,2019
3,Aldrich Ellis C. Asuncion,William Emmanuel S. Yu,Ateneo de Manila University,Ateneo de Manila University,local,2019
3,Brian Christopher T. Guadalupe,William Emmanuel S. Yu,Ateneo de Manila University,Ateneo de Manila University,local,2019
4,Clarisa Albarillo,Proceso Fernandez Jr.,Don Mariano Marcos Memorial State University,Ateneo de Manila University,local,2019
5,Harvey Ian Arbas,Ara Abigail Ambita,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Harvey Ian Arbas,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
5,Ara Abigail Ambita,Ligaya Leah Lara-Figueroa,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
